BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,4,"815,000","852,299","847,098","900,000"
4,ARVERNE,01 ONE FAMILY DWELLINGS,24,"315,000","514,303","505,000","1,138,000"
4,ARVERNE,02 TWO FAMILY DWELLINGS,83,"320,000","757,319","720,000","1,318,000"
4,ARVERNE,03 THREE FAMILY DWELLINGS,7,"330,000","845,698","780,000","1,489,686"
4,ASTORIA,01 ONE FAMILY DWELLINGS,68,"425,000","1,241,253","1,105,000","5,150,000"
4,ASTORIA,02 TWO FAMILY DWELLINGS,167,"200,000","1,286,027","1,248,000","5,775,000"
4,ASTORIA,03 THREE FAMILY DWELLINGS,69,"300,000","1,424,063","1,430,000","2,520,000"
4,BAYSIDE,01 ONE FAMILY DWELLINGS,342,"265,000","1,059,750","990,000","4,730,000"
4,BAYSIDE,02 TWO FAMILY DWELLINGS,129,"510,000","1,441,296","1,400,000","4,730,000"
4,BAYSIDE,03 THREE FAMILY DWELLINGS,18,"700,000","1,393,111","1,451,500","1,750,000"
4,BEECHHURST,01 ONE FAMILY DWELLINGS,49,"301,500","1,138,755","998,000","2,500,000"
4,BEECHHURST,02 TWO FAMILY DWELLINGS,3,"1,210,000","1,386,667","1,300,000","1,650,000"
4,BELLE HARBOR,01 ONE FAMILY DWELLINGS,27,"800,000","1,167,630","999,000","2,500,000"
4,BELLE HARBOR,02 TWO FAMILY DWELLINGS,23,"715,000","1,103,370","1,050,000","1,650,000"
4,BELLE HARBOR,03 THREE FAMILY DWELLINGS,2,"600,000","780,000","780,000","960,000"
4,BELLEROSE,01 ONE FAMILY DWELLINGS,102,"200,885","754,749","736,000","1,450,000"
4,BELLEROSE,02 TWO FAMILY DWELLINGS,30,"635,000","843,967","806,000","1,226,000"
4,BELLEROSE,03 THREE FAMILY DWELLINGS,3,"972,500","1,113,833","1,169,000","1,200,000"
4,BREEZY POINT,01 ONE FAMILY DWELLINGS,69,"250,000","762,229","750,000","1,350,000"
4,BRIARWOOD,01 ONE FAMILY DWELLINGS,24,"234,350","813,570","847,500","1,450,000"
4,BRIARWOOD,02 TWO FAMILY DWELLINGS,17,"660,000","1,031,882","960,000","2,000,000"
4,BRIARWOOD,03 THREE FAMILY DWELLINGS,4,"990,000","1,187,838","1,195,677","1,370,000"
4,BROAD CHANNEL,01 ONE FAMILY DWELLINGS,19,"220,000","575,026","575,000","950,000"
4,CAMBRIA HEIGHTS,01 ONE FAMILY DWELLINGS,104,"203,000","610,884","630,000","825,000"
4,CAMBRIA HEIGHTS,02 TWO FAMILY DWELLINGS,11,"450,000","782,273","720,000","1,075,000"
4,CAMBRIA HEIGHTS,03 THREE FAMILY DWELLINGS,1,"510,000","510,000","510,000","510,000"
4,COLLEGE POINT,01 ONE FAMILY DWELLINGS,94,"385,000","875,646","860,000","1,770,000"
4,COLLEGE POINT,02 TWO FAMILY DWELLINGS,79,"359,000","1,026,910","996,666","1,560,000"
4,COLLEGE POINT,03 THREE FAMILY DWELLINGS,16,"710,000","1,099,241","1,045,000","1,530,000"
4,CORONA,01 ONE FAMILY DWELLINGS,25,"257,000","937,720","826,000","2,350,000"
4,CORONA,02 TWO FAMILY DWELLINGS,90,"350,000","1,071,234","1,084,500","2,030,000"
